DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Serene Lake Dam,MI00417,Livingston,Not Required,
North Branch River Dam,MI00418,Dickinson,Not Required,
Wheeler Creek Dam,MI00419,Wexford,Yes,08-Oct-14
Waszkiewicz Dam,MI00420,Alcona,Not Required,
Walker Creek Dam #2,MI00421,Isabella,No,05-May-55
Lake Lochbrae Dam,MI00422,Gladwin,Not Required,
Black River Dam,MI00423,Allegan,Not Required,
Maple River Dam,MI00424,Emmet,Yes,
Lake Lapeer Lake Level Control Structure,MI00425,Lapeer,Yes,25-Nov-16
Duncan Dam,MI00426,Isabella,Not Required,
North Branch Cedar Creek Dam,MI00427,Barry,Not Required,
Otter Lake Dam,MI00428,Houghton,Not Required,
Eastbrook Lake Level Control Structure,MI00429,Kent,Not Required,
Morris Lake Dam,MI00430,Ogemaw,Not Required,
Toledo Boy Scouts Dam,MI00431,Hillsdale,Not Required,
Big Seven Lake Dam,MI00432,Oakland,Not Required,
Younglove Dam,MI00433,Lapeer,Not Required,
Lake Isabella Dam,MI00434,Isabella,Yes,01-Jan-08
Bellaire Dam,MI00435,Antrim,Yes,
Holiday Lake Dam,MI00436,Oceana,Yes,01-Mar-10
Forest Lake Dam,MI00437,Arenac,Yes,24-Jul-17
Lake Independence Dam,MI00438,Marquette,Not Required,
Meeuwenberg Dam,MI00439,Leelanau,Yes,06-Jan-11
Little Rainbow Lake Dam,MI00440,Gratiot,Not Required,
Loch Erin Dam,MI00441,Lenawee,Yes,27-Oct-10
Chikaming Springs Farm Dam,MI00442,Berrien,Not Required,
Intake Park Dam,MI00443,Schoolcraft,Not Required,
Lower Crystal Lake Dam,MI00444,Barry,Yes,31-Aug-15
Lake Connamara Dam,MI00445,Lake,Not Required,
Lake Inez Dam,MI00446,Montmorency,Not Required,
Lake Miramichi Dam (Upper),MI00447,Osceola,Not Required,
Seven Lakes Addition Dam,MI00448,Oakland,Not Required,
Winn Lake Dam,MI00449,Lapeer,Not Required,
Bottom Creek Dam,MI00450,Lapeer,Yes,23-Dec-14
Globe Mill Dam,MI00451,Lenawee,Yes,
Weatherwood Dam,MI00452,Hillsdale,Not Required,
